species,eventDate,decimalLatitude,decimalLongitude
Balaenoptera musculus,2024-06-08T18:42:27Z,33.531969,-117.855835
Balaenoptera musculus,2024-06-05T10:15:31Z,32.737256,-117.358704
Balaenoptera musculus,2024-06-09T13:09:52Z,32.688726,-117.366943
Balaenoptera musculus,2024-06-02T13:14:42Z,32.733429,-117.427368
Balaenoptera musculus,2024-07-10T11:42:44Z,32.14,-119.18
Balaenoptera musculus,2024-07-10T11:37:02Z,32.14,-119.17
Balaenoptera musculus,2024-07-10T12:58:28Z,32.14,-119.17
Balaenoptera musculus,2024-07-10T12:34:11Z,32.14,-119.17
Balaenoptera musculus,2024-07-10T11:29:06Z,32.14,-119.17
Balaenoptera musculus,2024-05-12T13:32:05Z,32.666133,-117.389267
Balaenoptera musculus,2024-05-26T13:33:31Z,32.708408,-117.864075
Balaenoptera musculus,2024-05-21T14:08:17Z,33.644503,-118.27131
Balaenoptera musculus,2024-05-14T17:04:05Z,33.511558,-118.111954
Balaenoptera musculus,2024-05-14T11:57:37Z,33.309263,-117.625122
Balaenoptera musculus,2024-05-19T14:49:37Z,33.66021,-118.263702
Balaenoptera musculus,2024-05-11T11:28:43Z,33.578515,-117.964325
Balaenoptera musculus,2024-05-20T11:41:36Z,33.446473,-117.688637
Balaenoptera musculus,2024-06-07T15:48:39Z,33.619909,-118.256836
Balaenoptera musculus,2024-06-02T13:27:09Z,33.561944,-117.940583
Balaenoptera musculus,2024-06-06T16:38:27Z,33.56343,-118.199443
Balaenoptera musculus,2024-06-01T16:17:09Z,33.558992,-117.902931
Balaenoptera musculus,2024-05-30T13:09:54Z,34.097241,-119.613647
Balaenoptera musculus,2024-06-06T16:43:11Z,33.56344,-118.196608
Balaenoptera musculus,2024-06-01T11:36:26Z,34.111137,-119.822388
Balaenoptera musculus,2024-06-02T17:53:01Z,33.56,-117.991944
Balaenoptera musculus,2024-06-06T16:34:24Z,33.56498,-118.198733
Balaenoptera musculus,2024-06-03T18:16:00Z,34.2,-120
Balaenoptera musculus,2024-05-19T10:52:01Z,32.63,-117.37
Balaenoptera musculus,2024-06-04T09:30:00Z,33.58296,-117.89238
Balaenoptera musculus,2024-05-31T08:51:48Z,33.543133,-117.901233
Balaenoptera musculus,2024-05-23T13:52:36Z,33.601806,-118.376603
Balaenoptera musculus,2024-06-04T16:23:42Z,33.58488,-118.104398
Balaenoptera musculus,2024-06-06T16:51:58Z,33.564387,-118.19851800000001
Balaenoptera musculus,2024-06-04T16:21:49Z,33.580822,-118.099338
Balaenoptera musculus,2024-06-06T16:20:31Z,33.578048,-118.234872
Balaenoptera musculus,2024-06-06T16:22:31Z,33.577418,-118.231993
Balaenoptera musculus,2024-06-04T13:26:04Z,33.587672,-118.065917
Balaenoptera musculus,2024-06-06T13:36:54Z,33.566845,-118.21355
Balaenoptera musculus,2024-06-04T13:16:59Z,33.589445,-118.095983
Balaenoptera musculus,2024-06-06T13:42:15Z,33.565442,-118.209205
Balaenoptera musculus,2024-06-04T12:58:45Z,33.596878,-118.112617
Balaenoptera musculus,2024-06-06T13:22:09Z,33.565947,-118.213088
Balaenoptera musculus,2024-06-03T00:00:00Z,33.5905,-118.0666
Balaenoptera musculus,2024-06-04T13:47:01Z,33.585087,-118.065502
Balaenoptera musculus,2024-06-06T13:21:22Z,33.566222,-118.213622
Balaenoptera musculus,2024-05-26T10:50:28Z,32.63,-117.37
Balaenoptera musculus,2024-05-21T00:00:00Z,32.751315,-117.424622
Balaenoptera musculus,2024-05-23T18:30:19Z,32.768501,-117.5252
Balaenoptera musculus,2024-06-02T11:19:32Z,34.299603,-119.771613
Balaenoptera musculus,2024-06-02T10:05:57Z,33.64287,-118.292513
Balaenoptera musculus,2024-05-21T00:00:00Z,32.751315,-117.424622
Balaenoptera musculus,2024-05-17T17:13:15Z,33.545901,-117.862701
Balaenoptera musculus,2024-05-04T00:00:00Z,32.736983,-117.321243
Balaenoptera musculus,2024-05-06T09:40:26Z,33.41,-117.921
Balaenoptera musculus,2024-04-14T13:37:23Z,33.656175,-118.287362
Balaenoptera musculus,2020-07-25T11:37:51Z,34.119,-120.089
Balaenoptera musculus,2020-07-25T12:02:49Z,34.119,-120.089
Balaenoptera musculus,2020-07-25T12:06:19Z,34.119,-120.089
Balaenoptera musculus,2020-07-25T12:12:49Z,34.119,-120.089
Balaenoptera musculus,2020-07-25T12:13:53Z,34.119,-120.089
Balaenoptera musculus,2023-07-07T13:36:34Z,33.547654,-118.322754
Balaenoptera musculus,2022-12-31T14:52:19Z,33.595711,-118.299408
Balaenoptera musculus,2021-06-25T17:13:46Z,33.550247,-118.316574
